įrodyti,irodyti,"to prove"
gauti,gauti,"to receive"
gerbti,gerbti,"to respect"
ilsėtis,ilsetis,"to rest"
joti,joti,"to ride"
skirti,skirti,"to separate"
sėdėti,sedeti,"to sit"
miegoti,miegoti,"to sleep"
stovėti,stoveti,"to stand"
pradėti,pradeti,"to start"
žengti,zengti,"to step"
tildyti,tildyti,"to still"
mušti,musti,"to strike"
mokytis,mokytis,"to study"
spėti,speti,"to suppose"
mesti,mesti,"to throw"
mokyti,mokyti,"to train"
elgtis,elgtis,"to treat"
dėvėti,deveti,"to wear"
laimėti,laimeti,"to win"
norėti,noreti,"to wish"
domėtis,dometis,"to wonder"
dantis,dantis,"tooth"
viršūnė,virsune,"top"
link,link,"towards"
verslas,verslas,"trade"
teismas,teismas,"trial"
kelionė,kelione,"trip"
tikras,tikras,"true"
tiesa,tiesa,"truth"
sąjunga,sajunga,"union"
įvairus,ivairus,"various"
vaizdas,vaizdas,"view"
balsas,balsas,"voice"
balsas,balsas,"vote"
siena,siena,"wall"
karas,karas,"war"
šiltas,siltas,"warm"
banga,banga,"wave"
ginklas,ginklas,"weapon"
savaitė,savaite,"week"
svoris,svoris,"weight"
vakarai,vakarai,"west"
vakarų,vakaru,"western"
visas,visas,"whole"
platus,platus,"wide"
žmona,zmona,"wife"
vėjas,vejas,"wind"
langas,langas,"window"
noras,noras,"wish"
vertė,verte,"worth"
tikslas,tikslas,"aim"
panašus,panasus,"alike"
pašalpa,pasalpa,"allowance"
pyktis,pyktis,"anger"
kampas,kampas,"angle"
piktas,piktas,"angry"
obuolys,obuolys,"apple"
strėlė,strele,"arrow"
teta,teta,"aunt"
ruduo,ruduo,"autumn"
alėja,aleja,"avenue"
kūdikis,kudikis,"baby"
krepšys,krepsys,"bag"
vonia,vonia,"bath"
kova,kova,"battle"
įlanka,ilanka,"bay"
barzda,barzda,"beard"
mušimas,musimas,"beat"
buvimas,buvimas,"being"
diržas,dirzas,"belt"
šalia,salia,"beside"
kartus,kartus,"bitter"
ašmenys,asmenys,"blade"
aklas,aklas,"blind"
pūtimas,putimas,"blow"
kaulas,kaulas,"bone"
siena,siena,"border"
butelis,butelis,"bottle"
dugnas,dugnas,"bottom"
riba,riba,"bound"
dėžė,deze,"box"
šaka,saka,"branch"
drąsus,drasus,"brave"
duona,duona,"bread"
plyta,plyta,"brick"
rudas,rudas,"brown"
šepetys,sepetys,"brush"
pyragas,pyragas,"cake"
ramus,ramus,"calm"
kepurė,kepure,"cap"
vadas,vadas,"captain"
korta,korta,"card"
pilis,pilis,"castle"
katė,kate,"cat"
urvas,urvas,"cave"
kėdė,kede,"chair"
žavumas,zavumas,"charm"
pigus,pigus,"cheap"
sūris,suris,"cheese"
višta,vista,"chicken"
Kalėdos,Kaledos,"Christmas"
sumanus,sumanus,"clever"
audinys,audinys,"cloth"
debesis,debesis,"cloud"
kava,kava,"coffee"
moneta,moneta,"coin"
skundas,skundas,"complaint"
ryšys,rysys,"connection"
turinys,turinys,"content"
virėjas,virejas,"cook"
kopija,kopija,"copy"
kosulys,kosulys,"cough"
drąsa,drasa,"courage"
karvė,karve,"cow"
smalsus,smalsus,"curious"
kreivė,kreive,"curve"
dukra,dukra,"daughter"
brangus,brangus,"dear"
skola,skola,"debt"
elnias,elnias,"deer"
gylis,gylis,"depth"
dykuma,dykuma,"desert"
velnias,velnias,"devil"
žodynas,zodynas,"dictionary"
drausmė,drausme,"discipline"
valgis,valgis,"dish"
tolimas,tolimas,"distant"
tuzinas,tuzinas,"dozen"
būgnas,bugnas,"drum"
antis,antis,"duck"
dulkės,dulkes,"dust"
pareiga,pareiga,"duty"
ausis,ausis,"ear"
rytinis,rytinis,"eastern"
kitur,kitur,"elsewhere"
tuščias,tuscias,"empty"
įėjimas,iejimas,"entrance"
pavydas,pavydas,"envy"
visur,visur,"everywhere"
blogis,blogis,"evil"
puikus,puikus,"excellent"
išimtis,isimtis,"exception"
brangus,brangus,"expensive"
posakis,posakis,"expression"
mada,mada,"fashion"
likimas,likimas,"fate"
kaltė,kalte,"fault"
moteris,moteris,"female"
tvora,tvora,"fence"
žuvis,zuvis,"fish"
vėliava,veliava,"flag"
liepsna,liepsna,"flame"
